resource_id,name,type,path_or_url,version_or_snapshot,owner_role,audience_access,license_status,kim_refs,last_access_check,fallback_ref,deprecation_status
RES-EX-M1,Реактивные агенты,local_code,examples/m1_reactive_agents.py,2026-07-27,REPRODUCIBILITY_OWNER,публичный локальный файл,MIT,M1-agent-architectures/kim-01-practical-work.md,2026-07-27,none-required-local,active
RES-EX-M2,Contract Net baseline,local_code,examples/m2_contract_net.py,2026-07-27,REPRODUCIBILITY_OWNER,публичный локальный файл,MIT,M2-coordination/kim-01-practical-work.md,2026-07-27,none-required-local,active
RES-EX-M3,Матричная и повторяющаяся игра,local_code,examples/m3_coordination_game.py,2026-07-27,REPRODUCIBILITY_OWNER,публичный локальный файл,MIT,M3-game-theory/kim-01-practical-work.md,2026-07-27,none-required-local,active
RES-EX-M4,PSO baseline,local_code,examples/m4_pso.py,2026-07-27,REPRODUCIBILITY_OWNER,публичный локальный файл,MIT,M4-swarm-intelligence/kim-01-practical-work.md,2026-07-27,none-required-local,active
RES-EX-M5,IQL baseline,local_code,examples/m5_independent_q.py,2026-07-27,REPRODUCIBILITY_OWNER,публичный локальный файл,MIT,M5-marl/kim-01-practical-work.md,2026-07-27,none-required-local,active
RES-EX-M6-GUARD,Защищённый оркестратор,local_code,examples/m6_guarded_orchestrator.py,2026-07-27,TECHNICAL_STANDARDS_OWNER,публичный локальный файл,MIT,M6-llm-mas/kim-01-practical-work.md,2026-07-27,none-required-local,active
RES-EX-M6-PROTOCOL,A2A/MCP semantic contract slice,local_code,examples/m6_protocol_slice.py,2026-07-27,TECHNICAL_STANDARDS_OWNER,публичный локальный файл,MIT,M6-llm-mas/kim-01-practical-work.md,2026-07-27,RES-EX-M6-GUARD,active
RES-EX-EXAM,Экзаменационный end-to-end smoke,local_code,examples/exam_end_to_end.py,2026-07-27,REPRODUCIBILITY_OWNER,публичный локальный файл,MIT,Exam/kim-02-practical-task.md,2026-07-27,RES-EX-M2;RES-EX-M6-GUARD,active
RES-GEN-REQ,Генератор учебных заявок,local_code,resources/datasets/generate_requests.py,2026-07-27,RESOURCE_OWNER,публичный локальный файл,MIT,M2-coordination/kim-01-practical-work.md;Exam/kim-02-practical-task.md,2026-07-27,none-required-local,active
RES-DATA-REQ,Синтетический поток заявок seed 42,local_dataset,resources/datasets/generated/requests_seed42.csv,seed42-count12@2026-07-27,RESOURCE_OWNER,публичный синтетический набор,CC-BY-4.0,M2-coordination/kim-01-practical-work.md;Exam/kim-02-practical-task.md,2026-07-27,RES-GEN-REQ,active
RES-TPL-ADR,Паспорт архитектурного решения,template,templates/student-repository/architecture-decision.md,2026-07-27,MEASUREMENT_OWNER,публичный локальный файл,CC-BY-4.0,M1-agent-architectures/kim-01-practical-work.md;M6-llm-mas/kim-01-practical-work.md;Exam/kim-02-practical-task.md,2026-07-27,none-required-local,active
RES-TPL-LOG,Журнал экспериментов,template,templates/student-repository/experiment-log.csv,2026-07-27,MEASUREMENT_OWNER,публичный локальный файл,CC-BY-4.0,M1-agent-architectures/kim-01-practical-work.md;M5-marl/kim-01-practical-work.md;Exam/kim-02-practical-task.md,2026-07-27,none-required-local,active
RES-TPL-REPORT,Шаблон отчёта,template,templates/student-repository/report.md,2026-07-27,MEASUREMENT_OWNER,публичный локальный файл,CC-BY-4.0,Midterm-1/kim-02-analytical-case.md;Midterm-2/kim-02-analytical-case.md;Exam/kim-02-practical-task.md,2026-07-27,none-required-local,active
RES-TPL-AI,Декларация использования ИИ,template,templates/student-repository/ai-use-disclosure.md,2026-07-27,MEASUREMENT_OWNER,публичный локальный файл,CC-BY-4.0,M1-agent-architectures/kim-01-practical-work.md;M6-llm-mas/kim-01-practical-work.md;Exam/kim-02-practical-task.md,2026-07-27,none-required-local,active
RES-PROFILE,Профили ресурсов,profile,docs/resource-profiles.md,2026-07-27,REPRODUCIBILITY_OWNER,публичный локальный файл,CC-BY-4.0,M1-agent-architectures/kim-01-practical-work.md;M2-coordination/kim-01-practical-work.md;M3-game-theory/kim-01-practical-work.md;M4-swarm-intelligence/kim-01-practical-work.md;M5-marl/kim-01-practical-work.md;M6-llm-mas/kim-01-practical-work.md;Exam/kim-02-practical-task.md,2026-07-27,none-required-local,active
RES-CASES-MODEL,Модельные кейсы МК-1…МК-6,local_doc,resources/cases/README.md,2026-08-06,RESOURCE_OWNER,публичный локальный файл,CC-BY-4.0,M1-agent-architectures/kim-03-case.md;M2-coordination/kim-03-case.md;Midterm-2/kim-02-analytical-case.md;Exam/kim-02-practical-task.md,2026-08-06,none-required-local,active
RES-PASSPORT,Паспорт ФОС,local_doc,docs/pasport.md,2026-08-06,MEASUREMENT_OWNER,публичный локальный файл,CC-BY-4.0,Exam/kim-02-practical-task.md,2026-08-06,none-required-local,active
RES-MATRIX,Матрицы КРМ и ОС,local_doc,docs/matrix.md,2026-08-06,MEASUREMENT_OWNER,публичный локальный файл,CC-BY-4.0,Exam/kim-02-practical-task.md,2026-08-06,none-required-local,active
